ID	USER_ID	TRACK_NAME	ARTIST	PLAYLIST_ID	PLAYLIST_NAME	GENRES
1	sitevagalume	Eraser	Ed Sheeran	6736120	Ed Sheeran - Divide	Pop,Rock,Pop/Rock
2	sitevagalume	Castle On The Hill	Ed Sheeran	6736120	Ed Sheeran - Divide	Pop,Rock,Pop/Rock
3	sitevagalume	Dive	Ed Sheeran	6736120	Ed Sheeran - Divide	Pop,Rock,Pop/Rock
4	sitevagalume	Shape Of You	Ed Sheeran	6736120	Ed Sheeran - Divide	Pop,Rock,Pop/Rock
5	sitevagalume	Perfect	Ed Sheeran	6736120	Ed Sheeran - Divide	Pop,Rock,Pop/Rock
6	sitevagalume	Galway Girl	Ed Sheeran	6736120	Ed Sheeran - Divide	Pop,Rock,Pop/Rock
28566	valmirmendes	Essa Mulher	Elis Regina	5449018	MPB DO MENDES	MPB,Romântico,Pagode
28567	valmirmendes	20 Anos Blues	Elis Regina	5449018	MPB DO MENDES	MPB,Romântico,Pagode
28568	valmirmendes	Águas de Março	Elis Regina	5449018	MPB DO MENDES	MPB,Romântico,Pagode
28569	valmirmendes	Alô, Alô Marciano	Elis Regina	5449018	MPB DO MENDES	MPB,Romântico,Pagode
28570	valmirmendes	Altos e Baixos	Elis Regina	5449018	MPB DO MENDES	MPB,Romântico,Pagode
28571	valmirmendes	Amor Demais	Elis Regina	5449018	MPB DO MENDES	MPB,Romântico,Pagode
28572	valmirmendes	Andança	Elis Regina	5449018	MPB DO MENDES	MPB,Romântico,Pagode
29984	taynemayara2	Love Me	Katy Perry	6621923	minhas musicas <3 <3	Pop,Pop/Rock,Dance
29985	taynemayara2	By The Grace Of God	Katy Perry	6621923	minhas musicas <3 <3	Pop,Pop/Rock,Dance
29986	taynemayara2	Walking On Air	Katy Perry	6621923	minhas musicas <3 <3	Pop,Pop/Rock,Dance
29987	taynemayara2	This Moment	Katy Perry	6621923	minhas musicas <3 <3	Pop,Pop/Rock,Dance
29988	taynemayara2	International Smile	Katy Perry	6621923	minhas musicas <3 <3	Pop,Pop/Rock,Dance
29989	taynemayara2	Ghost	Katy Perry	6621923	minhas musicas <3 <3	Pop,Pop/Rock,Dance
29990	taynemayara2	A Cup Of Coffee	Katy Perry	6621923	minhas musicas <3 <3	Pop,Pop/Rock,Dance
29991	taynemayara2	Agree To Disagree	Katy Perry	6621923	minhas musicas <3 <3	Pop,Pop/Rock,Dance
29992	taynemayara2	Birthday (Cash Cash Remix)	Katy Perry	6621923	minhas musicas <3 <3	Pop,Pop/Rock,Dance
29993	taynemayara2	Birthday (MOTi Remix)	Katy Perry	6621923	minhas musicas <3 <3	Pop,Pop/Rock,Dance
29994	taynemayara2	Black And Gold	Katy Perry	6621923	minhas musicas <3 <3	Pop,Pop/Rock,Dance
29995	taynemayara2	Eraser	Ed Sheeran	6621923	minhas musicas <3 <3	Pop,Pop/Rock,Dance
